abc abc:alphabet
abel abel.name
abraham abraham.name
ac ac:conditioner.1
accordion accordion
acorn acorn
actor actor
actress actress
adam adam.name
adolescent adolescent.name
adornment diamond,pearl,necklace,ring.1
adult adult.name
aerodrome aerodrome:airport
aeroplane aeroplane:plane.1
africa africa
agent agent:spy
aikido aikido
airbus airbus
airconditioner air-conditioner:conditioner.1
aircraft aircraft:plane.1
airdrome airdrome:airport
airfield airfield
airplane airplane:plane.1
airport airport
airship airship
alan alan.name
alarm alarm.1,alarm.2:warning
albert albert.name
alert alert:warning
alex alex.name
alexander alexander.name
alfred alfred.name
ali ali.name
alice alice.name
alien alien
allan allan.name
allen allen.name
alligator alligator
almond almond
alpaca alpaca
alphabet alphabet
ambulance ambulance
america america.1,america.2,america.3
amos amos.name
amy amy.name
ana ana.name
anaconda anaconda:snake
ancestor ancestor.name:grandparent.name
anchor anchor
anderson anderson.name
andre andre.name
andrew andrew.name
android android:robot
andy andy.name
angel angel
angela angela.name
animal tiger,dog,chipmunk,baboon,coyote,donkey,octopus,badger,squid,panda,turkey,cockroach,goat,parrot,scarab,squirrel,wasp,scorpion,llama,mole,bison,snake,fish,ox,ostrich,peacock,beaver,slug,elephant,swan,moose,leopard,echidna,hawk,dove,cat,moth,jaguar,armadillo,camel,crow,lobster,ferret,caterpillar,tarantula,flamingo,lion,mouse,iguana,chicken,beetle,fly,kangaroo,deer,gull,sheep,woodpecker,pig,hyena,buffalo,salmon,orangutan,koala,turtle,emu,gorilla,chimpanzee,hippopotamus,crocodile,toad,sable,mink,bug,shark,gazelle,crab,bear,swallow,mosquito,chameleon,antelope,horse,skunk,goose,worm,hedgehog,raccoon,rabbit,panther,rat,eagle,wolf,zebra,pony,spider,cobra,sloth,orca,alligator,seal,owl,dinosaur_1,jellyfish,yak,anteater,weasel,cow,stork,dolphin,centipede,duck,bee,snail,butterfly,warthog,rhinoceros,rooster,lizard,otter,bull,ant,cricket,boar,bat,giraffe,monkey,fox,falcon,alpaca,marten,whale,penguin,ladybug,grasshopper,hornet
ann ann.name
anna anna.name
anne anne.name
annie annie.name
ant ant
antarctica antarctica
anteater anteater
antelope antelope
anthony anthony.name
apartment apartment:room
ape orangutan,gorilla,chimpanzee
apparel apparel:clothes
apple apple
appliance toaster,microwave,dishwasher,oven,vacuum,iron,dryer,washer,fridge,stove
apricot apricot
apron apron
aqualung aqualung:diver
aquarium aquarium
aquatic dolphin,goose,duck,penguin,orca,stork,shark,whale,seal,gull,fish,flamingo,salmon,swan
arachnid spider,tarantula,scorpion
arch arch
archbishop archbishop:bishop
archduke archduke:baron
archosaur dinosaur_1,triceratops,diplodocus,tyrannosaurus,brontosaurus,velociraptor
arcticfox arctic-fox
aristocrat aristocrat:noble
aristocrate aristocrate:noble
arm arm
armadillo armadillo
armament missile,tank,rifle,fighter,sword,bomb,warship,bomber,bow.1,pistol,knife,cannon
armchair armchair
armor armor
armour armour:armor
arnold arnold.name
arrow arrow
arrows arrows:arrow
art art
arthropod beetle,bee,tarantula,hornet,cricket,bug,ant,butterfly,crab,spider,scarab,moth,fly,lobster,cockroach,mosquito,wasp,ladybug,grasshopper,scorpion,centipede
arthur arthur.name
